list_number,list_name,col1,col2,col3,col4,col5
1,"PVV (Partij voor de Vrijheid)",8,4,,,
2,"GROENLINKS / Partij van de Arbeid (PvdA)",,4,,,
3,"VVD",3,9,4,,
4,"Nieuw Sociaal Contract (NSC)",,,,,
5,"D66",,3,,,
6,"BBB",,,,,
7,"CDA",,,,,
8,"SP (socialistische Partij)",,,,,
9,"DENK",,,,,
10,"Partij voor de Dieren",,,,,
11,"Forum voor Democratie",,,,,
12,"Staatkundig Gereformeerde Partij (SGP)",,,,,
13,"ChristenUnie",,,,,
14,"Volt",,,,,
15,"JA21",,,,,
16,"Vrede voor Dieren",,,,,
17,"Belang Van Nederland (BVNL)",,,,,
18,"BIJ1",,,,,
19,"LP (Libertaire Partij)",,,,,
20,"50PLUS",,,,,
21,"Piratenpartij",,,,,
22,"FNP",0,,,,
23,"Vrij Verbond",,,,,
24,"DE LINIE",,,,,
25,"NL PLAN",,,,,
"","TOTAAL GELDIGE STEMMEN OP PARTIJEN",7,5,8,,
"","BLANCO",,,,,
"","ONGELDIG",,,,,
"","TOTAAL AANTAL STEMBILJETTEN IN STEMBUS",7,6,7,,
